Council,Year,Sum
Greater Geelong,2017,6377
Greater Geelong,2018,6336
Greater Geelong,2019,6420
Greater Geelong,2020,6554
Greater Geelong,2021,7561
Greater Geelong,2022,6339
Greater Geelong,2023,6402
Greater Geelong,2024,7227
Greater Shepparton,2016,2606
Greater Shepparton,2017,3030
Greater Shepparton,2018,3019
Greater Shepparton,2019,3000
Greater Shepparton,2020,2922
Greater Shepparton,2021,3164
Greater Shepparton,2022,2928
Greater Shepparton,2023,2956
Greater Shepparton,2024,3228
Hepburn,2016,202
Hepburn,2017,246
Hepburn,2018,221
Hepburn,2019,224
Hepburn,2020,275
Hepburn,2021,246
Hepburn,2022,166
Hepburn,2023,170
Hepburn,2024,219
Hindmarsh,2016,106
Hindmarsh,2017,115
Hindmarsh,2018,148
Hindmarsh,2019,148
Hindmarsh,2020,118
Hindmarsh,2021,110
Hindmarsh,2022,151
Hindmarsh,2023,109
Hindmarsh,2024,123
Hobsons Bay,2016,2125
Hobsons Bay,2017,1919
Hobsons Bay,2018,1804
Hobsons Bay,2019,2181
Hobsons Bay,2020,1918
Hobsons Bay,2021,2153
Hobsons Bay,2022,1863
Hobsons Bay,2023,1866
Hobsons Bay,2024,1985
Horsham,2016,1192
Horsham,2017,1041
Horsham,2018,950
Horsham,2019,828
Horsham,2020,764
Horsham,2021,895
Horsham,2022,844
Horsham,2023,939
Horsham,2024,1091
Hume,2016,5628
Hume,2017,6149
Hume,2018,5682
Hume,2019,6767
Hume,2020,6325
Hume,2021,8626
Hume,2022,5427
Hume,2023,5733
Hume,2024,6023
Indigo,2016,139
Indigo,2017,213
Indigo,2018,153
Indigo,2019,147
Indigo,2020,145
Indigo,2021,219
Indigo,2022,167
Indigo,2023,273
Indigo,2024,219
Kingston,2016,3459
Kingston,2017,3361
Kingston,2018,3127
Kingston,2019,3446
Kingston,2020,3372
Kingston,2021,3954
Kingston,2022,2690
Kingston,2023,3384
Kingston,2024,3829
Knox,2016,2957
Knox,2017,3313
Knox,2018,3430
Knox,2019,3340
Knox,2020,3335
Knox,2021,3957
Knox,2022,3190
Knox,2023,3326
Knox,2024,3452
Latrobe,2016,5107
Latrobe,2017,5431
Latrobe,2018,5136
Latrobe,2019,5359
Latrobe,2020,4736
Latrobe,2021,5373
Latrobe,2022,4365
Latrobe,2023,4651
Latrobe,2024,5164
Loddon,2016,134
Loddon,2017,181
Loddon,2018,123
Loddon,2019,168
Loddon,2020,145
Loddon,2021,192
Loddon,2022,201
Loddon,2023,143
Loddon,2024,143
Macedon Ranges,2016,681
Macedon Ranges,2017,752
Macedon Ranges,2018,664
Macedon Ranges,2019,765
Macedon Ranges,2020,722
Macedon Ranges,2021,1070
Macedon Ranges,2022,777
Macedon Ranges,2023,635
Macedon Ranges,2024,755
Manningham,2016,1099
Manningham,2017,1283
Manningham,2018,1235
Manningham,2019,1119
Manningham,2020,1259
Manningham,2021,1410
Manningham,2022,1129
Manningham,2023,1149
Manningham,2024,1451
